,Entity,Code,Year,Under-5s (Number),50-69 year-olds (Number),15-49 years-olds (Number),5-14 year-olds (Number), 70+ year-olds (Number),,,,,Entity,Entity
27,Afghanistan,AFG,2017,16998.44446,746.2688447,1175.430001,791.6339399,1719.386576,,,,,Afghanistan,Afghanistan
55,Albania,ALB,2017,65.90570364,50.32262866,14.94568575,5.610813224,244.8683071,,,,,Albania,Albania
83,Algeria,DZA,2017,810.9250274,758.6364706,500.9644946,121.5482198,2531.688044,,,,,Algeria,Algeria
111,American Samoa,ASM,2017,1.315824615,4.925648302,2.071549024,0.215262389,5.2707482,,,,,American Samoa,American Samoa
167,Andorra,AND,2017,0.042814686,2.234031419,0.573772531,0.013813777,28.1156359,,,,,Andorra,Andorra
195,Angola,AGO,2017,8036.80109,2304.563336,1452.388487,415.3597449,2299.292334,,,,,Angola,Angola
223,Antigua and Barbuda,ATG,2017,1.664160817,6.199590312,2.052813301,0.192367247,22.43489714,,,,,Antigua and Barbuda,Antigua and Barbuda
251,Argentina,ARG,2017,476.7101441,5735.548853,1356.37852,78.63839534,23410.86634,,,,,Argentina,Argentina
279,Armenia,ARM,2017,73.18091976,94.22148368,35.6611125,8.9281327,288.8724183,,,,,Armenia,Armenia
307,Australasia,,2017,41.88161893,456.0325033,106.6284111,5.527665646,4569.04553,,,,,Australia,Australasia
335,Australia,AUS,2017,34.42161241,405.9944006,98.48870025,4.828009911,3907.445092,,,,,Austria,Australia
363,Austria,AUT,2017,4.395290097,99.52195917,18.60328219,0.818895707,837.7265074,,,,,Azerbaijan,Austria
391,Azerbaijan,AZE,2017,1930.602897,313.4859022,207.6676401,137.2489799,465.8777241,,,,,Bahamas,Azerbaijan
419,Bahamas,BHS,2017,7.250847683,25.45295968,13.68313576,0.942307212,57.59187059,,,,,Bahrain,Bahamas
447,Bahrain,BHR,2017,3.679436886,29.23067919,10.21515753,1.231434556,50.70704148,,,,,Bangladesh,Bahrain
475,Bangladesh,BGD,2017,19677.73684,4460.117249,1909.727637,1408.705926,11065.03542,,,,,Barbados,Bangladesh
503,Barbados,BRB,2017,3.056791854,26.5714008,7.19031675,0.599254453,145.5476856,,,,,Belarus,Barbados
531,Belarus,BLR,2017,26.48840283,377.4626858,226.3553169,4.310127877,539.9311721,,,,,Belgium,Belarus
559,Belgium,BEL,2017,10.55963869,508.6966507,57.1388885,2.393160524,5090.393931,,,,,Benin,Belgium
587,Belize,BLZ,2017,17.66718721,22.62279145,15.26587268,1.696873115,53.26605002,,,,,Bermuda,Belize
615,Benin,BEN,2017,4015.548357,1004.153885,605.3008932,157.6292896,1781.972959,,,,,Bhutan,Benin
643,Bermuda,BMU,2017,0.194699823,2.21591901,0.420210892,0.023304846,13.88919464,,,,,Bolivia,Bermuda
671,Bhutan,BTN,2017,59.11843903,27.6451907,12.19799801,4.777239242,75.99219556,,,,,Bosnia and Herzegovina,Bhutan
699,Bolivia,BOL,2017,1246.821218,970.8422553,329.2193817,100.74125,2711.99654,,,,,Botswana,Bolivia
727,Bosnia and Herzegovina,BIH,2017,6.137827726,69.5273893,14.95168698,2.008931148,266.9689569,,,,,Brazil,Bosnia and Herzegovina
755,Botswana,BWA,2017,112.6505704,194.0963397,134.0862832,17.13367752,309.7329647,,,,,Brunei,Botswana
783,Brazil,BRA,2017,4489.548493,18854.23676,7220.940749,588.3951835,52920.04073,,,,,Bulgaria,Brazil
811,Brunei,BRN,2017,4.958478296,22.33400595,10.52383378,1.577331024,51.98557232,,,,,Burkina Faso,Brunei
839,Bulgaria,BGR,2017,61.55049092,449.9981506,131.412687,9.065534508,896.5751419,,,,,Burundi,Bulgaria
867,Burkina Faso,BFA,2017,11992.66665,2184.828091,1306.517642,338.9958178,3345.259165,,,,,Cambodia,Burkina Faso
895,Burundi,BDI,2017,4060.403398,1209.13396,750.6531589,217.1556697,1169.292519,,,,,Cameroon,Burundi
923,Cambodia,KHM,2017,3038.792699,1976.6358,815.9323066,134.5387512,3900.057044,,,,,Canada,Cambodia
951,Cameroon,CMR,2017,6457.454803,3119.119288,1812.554491,421.1598702,4338.109963,,,,,Cape Verde,Cameroon
979,Canada,CAN,2017,46.50907694,1014.709056,172.2806421,8.097818497,7806.355026,,,,,Central African Republic,Canada
1007,Cape Verde,CPV,2017,19.29069509,36.79807985,26.98274335,1.859293127,148.6928801,,,,,Chad,Cape Verde
1063,Central African Republic,CAF,2017,3094.700981,782.9781284,511.25197,113.817594,518.6759218,,,,,Chile,Central African Republic
1231,Chad,TCD,2017,14330.16649,1464.734526,875.5848796,420.6695173,2329.994188,,,,,China,Chad
1259,Chile,CHL,2017,63.49120133,596.9584106,153.4120314,8.363238156,3765.788273,,,,,Colombia,Chile
1287,China,CHN,2017,21173.3134,26009.1982,6801.997618,1775.582565,123629.8109,,,,,Comoros,China
1315,Colombia,COL,2017,1160.415624,1540.753091,730.7705073,118.9464514,4299.670948,,,,,Congo,Colombia
1343,Comoros,COM,2017,100.0249738,81.6911365,44.2026907,10.38319488,147.365097,,,,,Costa Rica,Comoros
1371,Congo,COG,2017,577.6774643,587.6680704,383.6589558,62.31181113,696.6926378,,,,,Cote d'Ivoire,Congo
1399,Costa Rica,CRI,2017,26.62830404,116.7522147,48.59494769,2.264935213,326.8282206,,,,,Cuba,Costa Rica
1427,Cote d'Ivoire,CIV,2017,8646.067544,2593.433265,1723.746962,408.3982609,3283.588266,,,,,Cyprus,Cote d'Ivoire
