,Entity,Code,Year,Outdoor air pollution,Child underweight,Indoor air pollution from solid fuels,No access to handwashing facility,Secondhand smoke,Vitamin A deficiency,Zinc deficiency,Short gestation for birth weight,Non-exclusive breastfeeding,Low birth weight for gestation,Child wasting,Child stunting,Under-5s Death (Number)
15,Afghanistan,AFG,2017,2032.27,1806.37,6460.59,1673.71,1507.09,1476.39,476.52,2521.43,1252.49,936.52,8664.81,3157.89,16998.44446
33,Albania,ALB,2017,8.38,2.63,8.54,0.72,11.98,4.94,0.52,6.15,7.48,4.66,35.87,8.05,65.90570364
53,Algeria,DZA,2017,215.02,38.96,0.99,24.58,100.39,26.93,7.68,84.02,83.86,70.41,432.36,65.13,810.9250274
74,American Samoa,ASM,2017,0.14,0.04,0.08,0.02,0.08,0.06,0.02,0.13,0.1,0.06,0.66,0.08,1.315824615
94,Andorra,AND,2017,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0.042814686
114,Angola,AGO,2017,981.22,877.44,2254.74,1187.07,807.48,541.9,155.58,983.28,524.08,555.34,4100.36,1419.73,8036.80109
134,Antigua and Barbuda,ATG,2017,0.28,0.04,0.01,0.08,0.08,0.04,0.03,0.23,0.15,0.09,0.63,0.08,1.664160817
154,Argentina,ARG,2017,56.61,11.79,4.86,7.6,76.51,19.95,6.81,35.23,46.09,17.92,246.38,27.98,476.7101441
174,Armenia,ARM,2017,16.15,1.54,4.1,1.66,17.14,0.22,0.64,8.67,6.37,5.1,30.46,5.19,73.18091976
194,Australia,AUS,2017,2.44,0.64,0.02,0.38,4.53,0.1,0.44,2.2,3.46,1.85,12.47,1.22,34.42161241
214,Austria,AUT,2017,0.53,0.07,0.01,0.03,0.71,0.18,0.06,0.42,0.39,0.34,1.43,0.11,4.395290097
234,Azerbaijan,AZE,2017,295.74,52.98,116.41,33.47,353.5,54.84,14.9,263.48,240.77,163.32,804.47,136.17,1930.602897
254,Bahamas,BHS,2017,1.11,0.15,0.08,0.28,0.4,0.14,0.06,0.98,0.79,0.41,2.74,0.31,7.250847683
274,Bahrain,BHR,2017,1.37,0.16,0.01,0.1,0.36,0.14,0.05,0.19,0.3,0.1,1.94,0.18,3.679436886
293,Bangladesh,BGD,2017,3492.8,1870.75,5956.04,2370.49,1576.58,650.05,209.81,5012.68,1190.73,1984.24,9105.57,1931.55,19677.73684
313,Barbados,BRB,2017,0.61,0.06,0,0.14,0.15,0.05,0.02,0.58,0.34,0.32,0.98,0.11,3.056791854
333,Belarus,BLR,2017,4.5,0.37,0.07,0.3,5.33,0.16,0.38,2.92,3.34,2.5,9.53,0.93,26.48840283
353,Belgium,BEL,2017,1.31,0.18,0.01,0.06,1.77,0.46,0.12,0.68,0.86,0.4,3.75,0.29,10.55963869
394,Benin,BEN,2017,372.67,413.1,1635.45,593.58,157.98,331.09,63.58,526.93,247.01,248.16,2260.18,624.78,4015.548357
414,Bermuda,BMU,2017,0.02,0,0,0.01,0.02,0,0.01,0.02,0.01,0.01,0.07,0.01,0.194699823
433,Bhutan,BTN,2017,11.93,2.79,8.1,2.04,4.23,2.34,0.39,14.86,4.5,5.48,21.14,5.9,59.11843903
453,Bolivia,BOL,2017,182.78,40.24,116.31,54.35,46.24,41.26,14.96,104.91,82.89,57.23,508.22,103.75,1246.821218
474,Bosnia and Herzegovina,BIH,2017,1.08,0.05,0.76,0.05,1.44,0.21,0.06,1.54,1.2,0.98,1.25,0.16,6.137827726
494,Botswana,BWA,2017,15.7,5.12,18.39,12.42,10.25,5.46,1.68,14.21,8.36,9.57,57.5,12.88,112.6505704
513,Brazil,BRA,2017,433.21,120.69,177.13,171.57,521.19,306.72,39.12,173.03,538.57,119.6,1931.1,303.21,4489.548493
533,Brunei,BRN,2017,0.2,0.24,0,0.05,0.81,0.06,0.03,0.5,0.44,0.27,2.11,0.31,4.958478296
554,Bulgaria,BGR,2017,9.79,1.49,2.8,0.38,13.7,4.14,0.53,5.38,6.97,2.16,27.55,3.59,61.55049092
571,Burkina Faso,BFA,2017,936.22,1563.45,5452.54,1768.24,762.52,910.22,207,1650.97,937.95,678.18,7609.42,1436.82,11992.66665
591,Burundi,BDI,2017,310.78,590.71,1854.48,619.92,168.9,234.09,210.98,538.26,124.63,253.7,2270.71,828.51,4060.403398
611,Cambodia,KHM,2017,265.45,336.82,1127.23,177.62,384.6,128.81,28.67,524.4,181.27,219.9,1601.81,457.31,3038.792699
631,Cameroon,CMR,2017,1400.73,463.78,1582.19,922.82,321.47,470.59,87.04,717.57,498.86,418.27,3268.38,761.87,6457.454803
651,Canada,CAN,2017,2.25,0.78,0.01,0.27,6.36,1.55,0.73,3.22,5.86,2.27,15.85,1.33,46.50907694
671,Cape Verde,CPV,2017,3.32,0.56,3.45,2.44,0.86,0.05,0.19,2.19,1.34,1.07,8.95,1.19,19.29069509
691,Central African Republic,CAF,2017,336.62,349.09,1308.95,439.53,201.21,262.8,66.33,432.52,254.24,192.19,1663.05,514.48,3094.700981
711,Chad,TCD,2017,1412.2,2435.84,6435.81,2064.56,372.24,1189.34,291.72,1201.65,1267.27,681.8,9675.87,2830.3,14330.16649
731,Chile,CHL,2017,11.07,0.99,1.68,0.86,6.33,2.29,0.41,7.22,5.16,5.59,21.46,1.81,63.49120133
750,China,CHN,2017,5174.08,581.03,2460.82,607.3,4122.65,890.38,125.32,1526.92,2051.94,1812.12,8278.32,1388.98,21173.3134
771,Colombia,COL,2017,157.75,33.4,42.53,38.85,76.51,33.01,12.75,122.33,105.06,60.56,415.23,85.55,1160.415624
791,Comoros,COM,2017,6.99,7.97,36.84,13.97,5.05,6.71,1.68,18.35,10.25,8.52,50.55,13.74,100.0249738
811,Congo,COG,2017,106.32,40.02,128.28,79.44,43.79,54.29,11.25,76.04,41.66,44.09,327.74,57.28,577.6774643
831,Costa Rica,CRI,2017,3.63,0.49,0.88,1.13,2.1,0.68,0.26,3.61,2.37,2.15,9.32,1.21,26.62830404
851,Cote d'Ivoire,CIV,2017,673.18,553.93,3332.72,1209.14,764.82,568.68,121.57,1308.11,670.47,619.47,4340.53,1088.13,8646.067544
891,Cuba,CUB,2017,9.89,1.24,0.59,2.17,5.9,0.72,0.8,7.82,5.4,4.96,22.46,2.57,59.17215775
911,Cyprus,CYP,2017,0.11,0.01,0,0,0.13,0.02,0.01,0.14,0.07,0.06,0.18,0.01,0.668789746
929,Czech Republic,CZE,2017,2.21,0.22,0.08,0.08,2.65,0.77,0.15,1.8,1.66,1.2,6.08,0.44,14.80842953
948,Democratic Republic of Congo,COD,2017,3518.03,4112.65,14790.32,5440.38,1477.6,3002.01,1500.51,4034.76,2112.4,2643.35,19663.61,6327.98,35375.449
968,Denmark,DNK,2017,0.46,0.08,0,0.03,0.59,0.19,0.07,0.21,0.5,0.36,1.64,0.12,4.809176592
987,Djibouti,DJI,2017,33.82,19.07,25.87,24.06,11.18,6,3.44,17.43,15.6,8.69,111.3,24.62,167.4578274
1007,Dominica,DMA,2017,0.45,0.07,0.1,0.15,0.15,0.06,0.03,0.39,0.3,0.17,1.1,0.13,2.821306865
1027,Dominican Republic,DOM,2017,47.24,11.48,23.06,46.61,25.84,13.94,5.89,72.66,47.48,35.98,165.03,22,434.3227398
1048,Ecuador,ECU,2017,106.51,35.49,14.75,33.85,28.49,39.26,19.91,50.8,60.28,23.61,357.32,79.22,795.3622969
1068,Egypt,EGY,2017,4074.12,328.03,29.9,257.78,1437.02,298.16,94.36,2070.4,917.1,577.39,4718.03,990.06,10374.95415
1088,El Salvador,SLV,2017,24.31,5,14.5,6.44,11.36,8.53,0.69,12.09,13.08,5.64,65.46,10.44,148.3823787
1108,Equatorial Guinea,GNQ,2017,25.35,3.52,27.09,16.07,4.46,7.01,1.09,21.02,11.52,11.8,52.64,10.71,123.2963215
1127,Eritrea,ERI,2017,230.29,249.47,629.83,268.1,133.72,131.17,45.3,185.23,77.42,82.1,1131.67,312.83,1787.31204
1147,Estonia,EST,2017,0.21,0.06,0.08,0.04,0.65,0.02,0.06,0.33,0.34,0.3,1.46,0.18,3.680115278
1165,Ethiopia,ETH,2017,2144.96,3209.53,11012.16,3951.77,869.94,2424.49,344.44,3107.04,1281.69,2316.56,13939.1,4611.91,25574.081
1185,Fiji,FJI,2017,4.77,2.39,7.3,1.29,4.66,2.9,0.99,5.76,4.2,2.71,35.11,2.94,61.59343733
1204,Finland,FIN,2017,0.05,0.02,0,0.01,0.15,0.04,0.02,0.14,0.12,0.13,0.37,0.03,1.233718716
1224,France,FRA,2017,5.08,0.79,0.05,0.27,5.33,0.15,1.12,2.36,3.37,1.94,15.9,1.27,44.77770117
1244,Gabon,GAB,2017,38.62,4.32,7.36,17.92,14.62,6.92,1.51,33.24,16.25,16.07,49.89,11.89,148.982324
1263,Gambia,GMB,2017,35.44,34.83,159.43,57.8,44.12,27.76,5.64,60.97,19.74,34.25,217.93,35.98,392.3764007
1282,Georgia,GEO,2017,5.99,0.86,5.73,0.79,8.95,1.39,0.75,2.27,3.77,1.31,18.37,3.16,41.3560308
1302,Germany,DEU,2017,5.42,0.77,0.09,0.27,6.38,0.41,0.69,3.18,4.25,2.88,14.21,0.91,46.77313171
1342,Greece,GRC,2017,2.6,0.34,0.03,0.1,3.59,0.84,0.31,0.66,1.93,0.34,6.7,0.56,17.19372333
1362,Greenland,GRL,2017,0.06,0.01,0,0,0.07,0.02,0.01,0.03,0.04,0.02,0.19,0.02,0.52252604
1381,Grenada,GRD,2017,0.44,0.06,0.04,0.12,0.14,0.06,0.03,0.41,0.22,0.2,0.87,0.12,2.395620678
1401,Guam,GUM,2017,0.59,0.13,0.14,0.07,0.3,0.23,0.05,0.57,0.45,0.28,2.7,0.29,5.615380104
1422,Guatemala,GTM,2017,362.9,222.76,699.28,175.69,110.14,130.24,41.27,218.17,213.33,75.76,1170.53,573.33,3068.949051
1442,Guinea,GIN,2017,372.16,602.78,3100.93,987.75,268.79,452.81,111.05,763.78,521.22,387.21,3779.22,942.65,6643.055598
1462,Guinea-Bissau,GNB,2017,31.19,38.22,205.5,67.49,24.35,37.64,6.87,80.33,21.75,35.77,220.81,46.61,457.628461
1483,Guyana,GUY,2017,4.66,1.2,1.55,2.72,2.09,0.86,0.24,4.83,2.58,2.21,14.25,1.86,28.54292155
