2,Countries,"Under-5 mortality rate (deaths per 1,000 live births) 1990","Under-5 mortality rate (deaths per 1,000 live births) 2000","Under-5 mortality rate (deaths per 1,000 live births) 2018",,"Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 male","Under-5 mortality rate by sex (deaths per 1,000 live births) 2018 female","Infant mortality rate (deaths per 1,000 live births) 1990","Infant mortality rate (deaths per 1,000 live births) 2018","Neonatal mortality rate (deaths per 1,000 live births) 1990","Neonatal mortality rate (deaths per 1,000 live births) 2000","Neonatal mortality rate (deaths per 1,000 live births) 2018","Probability of dying among children aged 5â14 (deaths per 1,000 children aged 5) 1990","Probability of dying among children aged 5-14 (deaths per 1,000 children aged 5) 2018","Annual number of under-5 deaths (thousands)
2019","Annual number of neonatal deaths (thousands)
2019","Neonatal deaths as proportion of all under-5 deaths         (%)
2019","Number of deaths among children aged 5-14 (thousands)
2019",Developed/developing
3,Afghanistan,179,129,62,4.1,66,59,121,48,75,61,37,16,5,74,45,60,5,0
4,Albania,41,26,9,6,9,8,35,8,13,12,7,7,2,0,0,74,0,0
5,Algeria,50,40,23,2.9,25,22,42,20,23,21,15,9,4,24,15,62,3,0
6,Andorra,11,6,3,4.4,3,3,9,3,6,3,1,7,1,0,0,50,0,0
7,Angola,223,206,77,5.4,83,71,132,52,54,51,28,46,16,94,36,38,15,0
8,Anguilla,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
9,Antigua and Barbuda,28,16,6,5,7,6,24,5,15,9,3,5,1,0,0,50,0,0
10,Argentina,29,20,10,3.8,11,9,25,9,15,11,6,3,2,8,5,64,2,0
11,Armenia,49,31,12,5.1,14,11,42,11,23,16,6,3,2,1,0,52,0,0
12,Australia,9,6,4,2.9,4,3,8,3,5,4,2,2,1,1,1,62,0,1
13,Austria,10,6,4,2.5,4,3,8,3,5,3,2,2,1,0,0,60,0,1
14,Azerbaijan,96,75,22,6.9,24,19,76,19,33,34,11,5,3,4,2,51,0,0
15,Bahamas,24,16,10,2.4,11,9,20,8,13,8,5,4,2,0,0,53,0,0
16,Bahrain,23,13,7,3.2,7,7,20,6,15,5,3,4,2,0,0,43,0,0
17,Bangladesh,144,87,30,5.9,32,28,100,25,64,42,17,26,4,89,50,57,12,0
18,Barbados,18,15,12,1.2,13,11,16,11,12,9,8,3,2,0,0,65,0,0
19,Belarus,15,13,3,7.3,4,3,12,3,8,6,1,4,1,0,0,38,0,0
20,Belgium,10,6,4,2.6,4,3,8,3,5,3,2,2,1,0,0,56,0,0
21,Belize,38,24,13,3.3,14,12,31,11,19,12,9,5,3,0,0,67,0,0
22,Benin,175,139,93,2.2,99,87,106,61,46,40,31,45,22,38,13,35,7,0
23,Bhutan,127,78,30,5.3,32,27,89,25,43,32,16,20,7,0,0,56,0,0
